id,name,image_url,description,rarity
MKJW-005,ぶさばな,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-005_C.jpg,"EYE: Smirk
COSTUME: Busabana
TRIBE: OWLRP",C
MKJW-006,どくろ,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-006_C.jpg,"EYE: Open
MOUTH: Stunned
COSTUME: Skull
TRIBE: RDOSDO",C
MKJW-007,ダブルウインク,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-007_C.jpg,"EYE: Double Wink
MOUTH: Satisfied
BACKGROUND: Five-storied Pagoda, Mosaic
Gradation
TRIBE: WGLLYG",C
MKJW-008,ヘッドフォン,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-008_C.jpg,"EYE: Sleeping
MOUTH: Smile
ACCESSORY: Headphones
BACKGROUND: Dot Gradation
TRIBE:
RLPMS",C
MKJW-009,金ふすま,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-009_U.jpg,"EYE: Surprised
MOUTH: Surprised
COSTUME: Fusuma
TRIBE: OSPSRR",UR
MKJW-010,ちょんまげ,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-010_R.jpg,"EYE: Surprised
MOUTH: Drool
ACCESSORY: Japanese Sword
COSTUME: Chonmage
TRIBE: SHBSDO",R
MKJW-011,銀ふすま,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-011_SR.jpg,"EYE: Surprised
MOUTH: Satisfied
COSTUME: Fusuma
TRIBE: LPBLA",SR
MKJW-012,ゴースト,https://mfctc.kaikaikiki.comassets/images/card/JP_MKJW-012_SA.jpg,"MOUTH: Satisfied
COSTUME: Ghost",SA
